iter	Passed	Remaining
1630	4910	25197
1631	4913	25194
1632	4918	25199
1633	4922	25201
1634	4925	25199
1635	4927	25194
1636	4931	25192
1637	4936	25199
1638	4939	25198
1639	4942	25195
1640	4946	25195
1641	4950	25199
1642	4955	25206
1643	4958	25204
1644	4962	25204
1645	4967	25209
1646	4970	25208
1647	4973	25207
1648	4977	25206
1649	4984	25222
1650	4987	25222
1651	4992	25228
1652	4996	25232
1653	5002	25242
1654	5005	25241
1655	5009	25242
1656	5014	25246
1657	5017	25246
1658	5023	25255
1659	5029	25267
1660	5035	25280
1661	5060	25388
1662	5075	25445
1663	5083	25468
1664	5099	25526
1665	5112	25572
1666	5122	25608
1667	5127	25611
1668	5137	25642
1669	5142	25649
1670	5153	25686
1671	5170	25753
1672	5182	25794
1673	5189	25809
1674	5197	25833
1675	5204	25847
1676	5210	25860
1677	5223	25903
1678	5232	25934
1679	5237	25939
1680	5250	25985
1681	5257	26000
1682	5269	26042
1683	5277	26061
1684	5286	26088
1685	5295	26112
1686	5308	26158
1687	5314	26167
1688	5318	26170
1689	5330	26211
1690	5335	26218
1691	5345	26245
1692	5351	26258
1693	5360	26282
1694	5368	26302
1695	5377	26331
